t,x,y,z
-10864,94,43,100
-9375,94,43,104
-8053,94,41,103
-6732,94,43,102
-5394,94,43,101
-4068,94,40,102
-2759,94,42,100
-1449,93,41,101
-140,93,41,100
1167,92,42,101
2492,92,42,104
3793,94,43,101
5092,93,42,101
6392,93,41,101
7691,94,42,101
8992,95,40,102
10292,93,41,102
13551,95,42,101
14979,95,42,101
16419,94,41,103
17769,95,41,102
19073,92,42,102
20375,94,41,101
21677,93,41,102
22979,93,44,100
24281,92,42,102
25584,95,42,102
26887,95,43,101
28190,94,42,101
29493,93,41,101
30819,93,42,100
32123,94,41,100
-32109,94,41,99
-30805,94,42,99
-29500,94,43,100
-28195,96,42,101
-26889,93,42,101
-25555,93,41,100
-24247,93,43,100
-22941,93,44,100
-21613,95,41,101
-20306,93,43,101
-18999,94,42,104
-17692,93,43,101
-16385,96,42,102
-13754,91,40,101
-12404,93,42,102
-11073,95,43,101
-9612,93,42,103
-8224,93,43,102
-6854,94,44,100
-5520,94,40,103
-4114,93,42,101
-2787,93,42,101
-1476,96,41,101
-151,94,43,101
1151,93,42,100
2451,92,42,101
3751,93,44,102
5051,94,41,101
6374,94,43,102
7674,95,43,101
8975,94,42,100
10276,94,43,100
11578,95,44,102
12879,94,43,100
14181,93,42,101
15483,94,41,101
16785,94,42,101
18087,94,43,102
19412,94,42,100
20715,94,42,101
22018,93,42,101
23322,95,41,101
24676,92,43,102
25982,94,42,101
27286,96,41,101
28590,93,41,100
29896,93,43,100
31202,95,41,101
32531,95,43,101
-31700,96,44,99
-30394,95,43,100
-29087,93,42,102
-27781,92,43,101
-26474,94,43,100
-25167,94,42,101
-23860,93,42,103
-22552,93,40,102
-21245,94,43,101
-19915,95,41,100
-18607,93,44,100
-15965,94,42,102
-14612,95,43,100
-13281,95,43,102
-11937,93,43,101
-10592,94,44,101
-9249,94,42,100
-7915,95,42,101
-6602,94,43,101
-5267,92,42,99
-3957,94,44,100
-2650,94,42,101
-1350,94,42,101
-50,95,43,100
1250,94,42,102
3561,94,41,101
4919,93,41,102
6222,95,42,101
7523,94,42,100
8877,95,42,101
10180,93,44,101
11482,93,42,101
12784,93,41,100
14086,96,42,100
15388,93,43,102
16691,93,43,100
17993,92,43,101
19297,93,42,100
20599,94,41,102
21925,93,43,102
23229,94,42,102
24533,93,41,102
25838,94,45,99
27142,92,42,101
28680,95,41,101
30435,94,43,102
32248,95,42,102
-30335,94,43,101
-28870,95,42,101
-27525,93,42,101
-26219,94,42,102
-24912,93,43,101
-23605,94,43,100
-22298,93,44,100
-20990,95,40,101
-19683,93,43,102
-18375,93,41,101
-17067,93,41,101
-14413,93,42,101
-13041,93,43,101
-11710,95,42,103
-10365,93,41,102
-9020,93,43,100
-7677,94,42,101
-6280,94,44,101
-4964,93,41,101
-3652,93,41,100
-2342,94,40,101
-1035,94,41,100
288,92,41,102
1588,94,40,101
2888,93,42,100
4189,93,43,101
5489,93,43,102
6790,93,43,100
8091,94,42,101
9392,93,41,100
10693,94,42,102
11995,94,41,101
13319,95,42,100
14622,93,41,101
15924,94,42,101
17226,91,43,101
18552,93,41,100
19857,91,41,100
21160,95,44,100
22464,93,42,100
23768,93,42,100
25072,93,42,100
26399,94,41,101
27703,95,43,101
29009,93,43,101
30314,93,41,100
31620,95,43,101
-32610,92,43,102
-31304,93,42,101
-29998,93,42,100
-28691,93,42,102
-27385,93,43,100
-26056,94,43,100
-24749,94,43,100
-23441,92,42,102
-22116,94,42,101
-20806,94,42,102
-19498,92,43,101
-16901,92,42,100
-15550,92,43,100
-14219,94,41,100
-12875,96,42,101
-11507,93,42,102
-10164,93,42,100
-8830,93,42,100
-7517,92,41,101
-6205,94,42,101
-4894,94,42,100
-3587,93,41,99
-2286,93,41,101
-891,95,41,102
546,92,41,101
1875,93,43,101
3193,96,42,101
4496,93,43,101
5797,93,44,102
7098,94,41,101
8399,92,43,101
9701,94,42,102
11003,94,43,101
12305,95,42,100
13607,93,42,102
14932,94,40,100
16235,92,43,100
17538,95,44,101
18841,92,43,102
20145,93,41,102
21449,94,43,101
22753,94,43,101
25049,96,43,100
26394,94,43,102
27731,94,41,102
29061,94,41,101
30367,95,42,100
31673,95,41,102
-32557,94,43,101
-31251,93,41,101
-29944,95,42,101
-28638,92,42,101
-27331,94,41,101
-26023,94,43,102
-24716,90,42,102
-23386,94,43,102
-22078,93,42,100
-20770,94,43,101
-18134,91,42,102
-16783,92,42,100
-15452,93,42,101
-14108,94,42,101
-12709,93,41,101
-11363,93,42,101
-9659,95,42,102
-8301,94,41,101
-6988,94,42,101
-5678,94,41,101
-4371,93,43,101
-3070,95,43,100
-1770,93,43,102
-470,94,42,99
831,93,42,99
2131,94,43,100
3432,94,42,101
4755,94,41,101
6057,94,43,101
7358,93,42,101
8660,94,42,100
9962,91,43,100
11264,94,41,101
12583,93,44,101
13888,94,44,100
15191,93,43,101
16494,93,42,100
17820,92,41,102
19123,93,42,101
20427,94,43,101
21732,92,41,100
23036,94,43,102
24341,92,41,102
25646,94,43,99
26952,94,43,101
28258,92,41,103
29564,93,42,100
30892,94,42,100
32198,94,42,101
-32031,94,43,100
-30618,95,41,101
-29038,94,43,101
-27343,94,42,99
-26018,92,42,100
-24710,95,42,104
-23402,94,42,101
-22094,93,42,102
-19459,93,43,99
-18108,95,41,99
-16777,91,43,100
-15432,95,42,102
-14087,94,43,100
-12743,93,43,99
-11409,95,41,100
-10096,94,41,101
-8783,93,41,100
-7473,95,41,102
-6143,95,42,100
-4843,93,42,101
-3514,94,42,100
-2211,94,42,100
-911,94,43,100
390,92,43,101
1691,94,42,99
2992,94,42,99
4294,95,42,100
5595,95,41,102
6919,94,43,105
8221,93,43,100
9524,92,41,102
10826,92,44,100
12129,93,44,101
13432,95,43,102
14735,94,43,101
16038,93,42,101
17342,93,41,101
18646,94,43,100
19972,93,43,101
21326,94,41,101
22632,93,41,99
24482,93,41,101
25914,91,42,99
27231,94,42,101
28537,92,41,101
29843,94,42,99
31149,94,44,103
32456,93,42,100
-31751,93,41,100
-30444,94,41,101
-29137,96,41,100
-27830,94,43,101
-26522,92,42,100
-25214,96,41,100
-23906,93,40,101
-21304,94,42,101
-19954,94,43,101
-18586,93,42,100
-17216,93,42,101
-15871,93,43,101
-14528,92,43,102
-13194,94,42,101
-11880,94,40,101
-10568,94,43,101
-9258,93,43,102
-7950,94,40,101
-6650,94,41,99
-5350,92,42,101
-4028,94,42,100
-2727,94,41,100
-1427,95,42,100
-126,94,41,100
